1.1.1	 De Christo deo. Ante saecula qui manes 
2.1.63	Mystica fide reuelat tinctos sancto spiritu, 
2.1.64	fonte tinctos, innouatos, filios factos dei. 
2.1.65	Ante lucem, turba fratrum, concinamus gloriam, 
2.1.66	qua docemur nos futuros sempiterno saeculo. 
2.1.67	[Galli cantus, galli plausus proximum sentit diem, 
2.1.68	nos cantantes et precantes, quae futura, credimus. 
2.1.69	Inmensamque maiestatem concinamus iugiter, 
2.1.70	ante lucem nuntiemus Christum regem saeculo, 
2.1.71	Ante lucem decantantes Christo regi domino 
2.1.72	et, qui in illum recte credunt, regnaturi cum eo.
2.1.73	Gloria patri ingenito, gloria unigenito 
2.1.74	simul cum sancto spiritu in sempiterna saecula].
